web-scraper-order,web-scraper-start-url,paginator,brand-name
"1647964226-9","https://www.faire.com/category/Based%20in%20the%20U.K.?filters=sorting%3Ascore_desc","","Patch&Pops Boutique"
"1647964244-98","https://www.faire.com/category/Based%20in%20the%20U.K.?filters=sorting%3Ascore_desc","https://www.faire.com/category/Based%20in%20the%20U.K.?filters=sorting%3Ascore_desc&page=5","Middle Mouse"
"1647964230-33","https://www.faire.com/category/Based%20in%20the%20U.K.?filters=sorting%3Ascore_desc","https://www.faire.com/category/Based%20in%20the%20U.K.?filters=sorting%3Ascore_desc&page=2","Jolly Awesome"
"1647964226-2","https://www.faire.com/category/Based%20in%20the%20U.K.?filters=sorting%3Ascore_desc","","Lorna Syson"
"1647964244-91","https://www.faire.com/category/Based%20in%20the%20U.K.?filters=sorting%3Ascore_desc","https://www.faire.com/category/Based%20in%20the%20U.K.?filters=sorting%3Ascore_desc&page=5","The Buddy Fernandez Card Company"
"1647964238-67","https://www.faire.com/category/Based%20in%20the%20U.K.?filters=sorting%3Ascore_desc","https://www.faire.com/category/Based%20in%20the%20U.K.?filters=sorting%3Ascore_desc&page=4","Paperwhale Cards & Paper Goods"
"1647964234-54","https://www.faire.com/category/Based%20in%20the%20U.K.?filters=sorting%3Ascore_desc","https://www.faire.com/category/Based%20in%20the%20U.K.?filters=sorting%3Ascore_desc&page=3","Studio Boketto"
"1647964238-69","https://www.faire.com/category/Based%20in%20the%20U.K.?filters=sorting%3Ascore_desc","https://www.faire.com/category/Based%20in%20the%20U.K.?filters=sorting%3Ascore_desc&page=4","Olew Hair"
"1647964238-74","https://www.faire.com/category/Based%20in%20the%20U.K.?filters=sorting%3Ascore_desc","https://www.faire.com/category/Based%20in%20the%20U.K.?filters=sorting%3Ascore_desc&page=4","In The Washroom"
"1647964238-79","https://www.faire.com/category/Based%20in%20the%20U.K.?filters=sorting%3Ascore_desc","https://www.faire.com/category/Based%20in%20the%20U.K.?filters=sorting%3Ascore_desc&page=4","Heyland & Whittle Ltd"
"1647964230-35","https://www.faire.com/category/Based%20in%20the%20U.K.?filters=sorting%3Ascore_desc","https://www.faire.com/category/Based%20in%20the%20U.K.?filters=sorting%3Ascore_desc&page=2","Finemade Studio"
"1647964261-164","https://www.faire.com/category/Based%20in%20the%20U.K.?filters=sorting%3Ascore_desc","https://www.faire.com/category/Based%20in%20the%20U.K.?filters=sorting%3Ascore_desc&page=9","Kutuu"
